gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
7437,20211231,2021,INDL,C,D,STD,ALE,USD,A,5510
7486,20210331,2020,INDL,C,D,STD,MOD,USD,A,2510
7526,20211231,2021,INDL,C,D,STD,QDEL,USD,A,3510
7585,20211231,2021,INDL,C,D,STD,MSI,USD,A,4520
7620,20211231,2021,INDL,C,D,STD,MUR,USD,A,1010
7636,20211231,2021,INDL,C,D,STD,MYE,USD,A,1510
7647,20211231,2021,INDL,C,D,STD,BAC,USD,A,4010
7648,20211231,2021,INDL,C,D,STD,NCR,USD,A,4510
7685,20210630,2021,INDL,C,D,STD,NSSC,USD,A,4520
7733,20210930,2021,INDL,C,D,STD,NFG,USD,A,5510
7741,20211231,2021,INDL,C,D,STD,NHC,USD,A,3510
7750,20211231,2021,INDL,C,D,STD,THC,USD,A,3510
7762,20211231,2021,INDL,C,D,STD,NPK,USD,A,2010
7849,20210930,2021,INDL,C,D,STD,NJR,USD,A,5510
7866,20211231,2021,INDL,C,D,STD,NYT,USD,A,5020
7875,20211231,2021,INDL,C,D,STD,NWL,USD,A,2520
7881,20211231,2021,INDL,C,D,STD,NEM,USD,A,1510
7882,20211231,2021,INDL,C,D,STD,NR,USD,A,1010
7906,20210531,2020,INDL,C,D,STD,NKE,USD,A,2520
7921,20211031,2021,INDL,C,D,STD,NDSN,USD,A,2010
7922,20210131,2020,INDL,C,D,STD,JWN,USD,A,2550
7923,20211231,2021,INDL,C,D,STD,NSC,USD,A,2030
7951,20210131,2020,INDL,C,D,STD,MOV,USD,A,2520
7970,20211231,2021,INDL,C,D,STD,ES,USD,A,5510
7974,20211231,2021,INDL,C,D,STD,NI,USD,A,5510
7977,20211231,2021,INDL,C,D,STD,XEL,USD,A,5510
7982,20211231,2021,INDL,C,D,STD,NTRS,USD,A,4020
7985,20211231,2021,INDL,C,D,STD,NOC,USD,A,2010
7991,20211231,2021,INDL,C,D,STD,TEX,USD,A,2010
7993,20211231,2021,INDL,C,D,STD,NWN,USD,A,5510
8001,20211231,2021,INDL,C,D,STD,NWE,USD,A,5510
8007,20211231,2021,INDL,C,D,STD,WFC,USD,A,4010
8030,20211231,2021,INDL,C,D,STD,NUE,USD,A,1510
8068,20211231,2021,INDL,C,D,STD,OXY,USD,A,1010
8079,20211231,2021,INDL,C,D,STD,OII,USD,A,1010
8099,20211231,2021,INDL,C,D,STD,FE,USD,A,5510
8113,20211231,2021,INDL,C,D,STD,OGE,USD,A,5510
8123,20211231,2021,INDL,C,D,STD,OLN,USD,A,1510
8148,20211231,2021,INDL,C,D,STD,OLP,USD,A,6010
8151,20211231,2021,INDL,C,D,STD,OKE,USD,A,1010
8199,20211231,2021,INDL,C,D,STD,OTTR,USD,A,5510
8213,20211231,2021,INDL,C,D,STD,OMI,USD,A,3510
8214,20211231,2021,INDL,C,D,STD,OC,USD,A,2010
8215,20211231,2021,INDL,C,D,STD,OI,USD,A,1510
8219,20210131,2020,INDL,C,D,STD,OXM,USD,A,2520
8245,20211231,2021,INDL,C,D,STD,PNC,USD,A,4010
8247,20211231,2021,INDL,C,D,STD,PPG,USD,A,1510
8253,20211231,2021,INDL,C,D,STD,PCAR,USD,A,2010
8264,20211231,2021,INDL,C,D,STD,PCG,USD,A,5510
8272,20211231,2021,INDL,C,D,STD,SRE,USD,A,5510
8334,20211231,2021,INDL,C,D,STD,PAR,USD,A,4520
8348,20210228,2020,INDL,C,D,STD,PKE,USD,A,2010
8358,20210630,2021,INDL,C,D,STD,PH,USD,A,2010
8386,20211231,2021,INDL,C,D,STD,PATK,USD,A,2510
8402,20210531,2020,INDL,C,D,STD,PAYX,USD,A,4510
8431,20211231,2021,INDL,C,D,STD,AFG,USD,A,4030
8455,20211231,2021,INDL,C,D,STD,PPL,USD,A,5510
8463,20211231,2021,INDL,C,D,STD,PNR,USD,A,2010
8479,20211231,2021,INDL,C,D,STD,PEP,USD,A,3020
8486,20211231,2021,INDL,C,D,STD,TPC,USD,A,2010
8512,20211231,2021,INDL,C,D,STD,PDCE,USD,A,1010
8530,20211231,2021,INDL,C,D,STD,PFE,USD,A,3520
8539,20211231,2021,INDL,C,D,STD,EXC,USD,A,5510
8543,20211231,2021,INDL,C,D,STD,MO,USD,A,3020
8549,20211231,2021,INDL,C,D,STD,COP,USD,A,1010
8551,20210131,2020,INDL,C,D,STD,PVH,USD,A,2520
8582,20210331,2020,INDL,C,D,STD,SENEA,USD,A,3020
8599,20210331,2020,INDL,C,D,STD,AGYS,USD,A,4510
8606,20211231,2021,INDL,C,D,STD,PBI,USD,A,2020
8692,20211231,2021,INDL,C,D,STD,PCH,USD,A,6010
8762,20210630,2021,INDL,C,D,STD,PG,USD,A,3030
8807,20211231,2021,INDL,C,D,STD,PNM,USD,A,5510
8810,20211231,2021,INDL,C,D,STD,PEG,USD,A,5510
8823,20211231,2021,INDL,C,D,STD,PHM,USD,A,2520
8826,20210831,2021,INDL,C,D,STD,PCYO,USD,A,5510
8832,20210131,2020,INDL,C,D,STD,AGX,USD,A,2010
8850,20211231,2021,INDL,C,D,STD,KWR,USD,A,1510
8898,20210930,2021,INDL,C,D,STD,RJF,USD,A,4020
8901,20211231,2021,INDL,C,D,STD,RES,USD,A,1010
8902,20210531,2020,INDL,C,D,STD,RPM,USD,A,1510
9063,20211231,2021,INDL,C,D,STD,AN,USD,A,2550
9155,20210228,2020,INDL,C,D,STD,RAD,USD,A,3010
9203,20210930,2021,INDL,C,D,STD,ROK,USD,A,2010
9216,20211231,2021,INDL,C,D,STD,ROG,USD,A,4520
9225,20211231,2021,INDL,C,D,STD,ROL,USD,A,2020
9248,20210131,2020,INDL,C,D,STD,ROST,USD,A,2550
9273,20210630,2021,INDL,C,D,STD,RGLD,USD,A,1510
9299,20211231,2021,INDL,C,D,STD,R,USD,A,2030
9317,20211231,2021,INDL,C,D,STD,SEIC,USD,A,4020
9324,20211231,2021,INDL,C,D,STD,SJW,USD,A,5510
9465,20211231,2021,INDL,C,D,STD,SLB,USD,A,1010
9466,20210531,2020,INDL,C,D,STD,SCHL,USD,A,5020
9538,20211231,2021,INDL,C,D,STD,SEB,USD,A,3020
9551,20210331,2020,INDL,C,D,STD,APPS,USD,A,4510
9555,20211231,2021,INDL,C,D,STD,SEE,USD,A,1510
9599,20210131,2020,INDL,C,D,STD,SMTC,USD,A,4530
9611,20211231,2021,INDL,C,D,STD,SCI,USD,A,2530
9664,20211231,2021,INDL,C,D,STD,SHEN,USD,A,5010
9667,20211231,2021,INDL,C,D,STD,SHW,USD,A,1510
9771,20211231,2021,INDL,C,D,STD,AOS,USD,A,2010
9778,20211231,2021,INDL,C,D,STD,SNA,USD,A,2010
9783,20211231,2021,INDL,C,D,STD,KEY,USD,A,4010
9815,20211231,2021,INDL,C,D,STD,SON,USD,A,1510
9831,20211231,2021,INDL,C,D,STD,SJI,USD,A,5510
9846,20211231,2021,INDL,C,D,STD,EIX,USD,A,5510
9849,20211231,2021,INDL,C,D,STD,AWR,USD,A,5510
9850,20211231,2021,INDL,C,D,STD,SO,USD,A,5510
9882,20211231,2021,INDL,C,D,STD,LUV,USD,A,2030
9890,20211231,2021,INDL,C,D,STD,SWX,USD,A,5510
9904,20211231,2021,INDL,C,D,STD,SWN,USD,A,1010
9969,20211231,2021,INDL,C,D,STD,STAA,USD,A,3510
10000,20211231,2021,INDL,C,D,STD,SMP,USD,A,2510
10008,20210630,2021,INDL,C,D,STD,SXI,USD,A,2010
10016,20211231,2021,INDL,C,D,STD,SWK,USD,A,2010
10035,20211231,2021,INDL,C,D,STD,STT,USD,A,4020
10056,20211231,2021,INDL,C,D,STD,SCL,USD,A,1510
10086,20211231,2021,INDL,C,D,STD,STC,USD,A,4030
10096,20211231,2021,INDL,C,D,STD,PSA,USD,A,6010
10115,20211231,2021,INDL,C,D,STD,SYK,USD,A,3510
10121,20211231,2021,INDL,C,D,STD,NAVI,USD,A,4020
10124,20211231,2021,INDL,C,D,STD,RGR,USD,A,2520
10247,20210630,2021,INDL,C,D,STD,SYY,USD,A,3010
10390,20211231,2021,INDL,C,D,STD,TRC,USD,A,6010
10405,20211231,2021,INDL,C,D,STD,ATI,USD,A,1510
10407,20211231,2021,INDL,C,D,STD,TFX,USD,A,3510
10411,20211231,2021,INDL,C,D,STD,TDS,USD,A,5010
10441,20211231,2021,INDL,C,D,STD,TNC,USD,A,2010
10443,20211231,2021,INDL,C,D,STD,TEN,USD,A,2510
10453,20211231,2021,INDL,C,D,STD,TER,USD,A,4530
10499,20211231,2021,INDL,C,D,STD,TXN,USD,A,4530
10519,20211231,2021,INDL,C,D,STD,TXT,USD,A,2010
